#UPS-spectrum

#Date/time: 	2018-03-26__17-34-57


#AK pressure: 	8,69E-9 	mbar
#Pass energy: 	15.0 	eV
#Volt. bias: 	-15.0 	V
#Volt. lens: 	-15.0 	V
#Step width: 	20.0 	meV
#Counttime: 	200.0 	ms
#Vor: 	16.0 	V
#Nach: 	5.0 	V
#slope: 	0.613 	V/s
#offset: 	-48.850 	V


#Slope: 	72.7 	mV/s
#Counttime: 	200.0 	ms




#E_k 	 cps 	 Ana 	 Hemi 	 Hemo 	 EP 	 Mt + 	 + meas


17,088	000000	-17,131	-16,176	-17,824	14,957	206	10
17,084	000000	-17,112	-16,156	-17,805	14,972	224	11
17,052	000000	-17,094	-16,138	-17,786	14,958	222	11
17,035	000000	-17,075	-16,120	-17,768	14,960	224	11
17,013	000000	-17,056	-16,101	-17,749	14,957	223	11
16,991	000000	-17,032	-16,076	-17,724	14,959	214	11
16,974	000000	-17,013	-16,057	-17,706	14,961	205	11
16,952	000000	-16,994	-16,039	-17,687	14,958	217	11
16,936	000000	-16,976	-16,020	-17,668	14,961	205	10
16,929	000000	-16,957	-16,000	-17,649	14,972	215	11
16,897	000000	-16,938	-15,982	-17,631	14,959	206	10
16,879	000000	-16,919	-15,963	-17,611	14,960	214	11
16,854	000000	-16,894	-15,939	-17,587	14,960	216	11
16,839	000000	-16,876	-15,920	-17,568	14,963	206	10
16,816	000000	-16,857	-15,902	-17,550	14,959	215	11
16,800	000000	-16,839	-15,883	-17,531	14,961	218	11
16,821	000000	-16,820	-15,860	-17,512	15,001	220	12
16,806	000000	-16,801	-15,841	-17,494	15,004	216	11
16,801	000000	-16,777	-15,815	-17,471	15,025	213	12
16,782	000000	-16,758	-15,797	-17,453	15,024	214	11
16,764	000000	-16,740	-15,778	-17,434	15,024	211	11
16,744	000000	-16,720	-15,759	-17,415	15,024	214	11
16,724	000000	-16,702	-15,741	-17,396	15,022	218	11
16,710	000000	-16,684	-15,722	-17,378	15,027	204	10
16,686	000000	-16,659	-15,697	-17,353	15,027	208	11
16,665	000000	-16,640	-15,679	-17,334	15,025	207	11
16,651	000000	-16,622	-15,660	-17,316	15,029	222	11
16,630	000000	-16,603	-15,642	-17,297	15,027	223	11
16,614	000000	-16,585	-15,623	-17,278	15,029	222	11
16,594	000000	-16,566	-15,604	-17,260	15,029	215	11
16,571	000000	-16,541	-15,579	-17,235	15,030	214	11
16,551	000000	-16,523	-15,561	-17,217	15,028	206	11
16,534	000000	-16,504	-15,542	-17,198	15,030	205	10
16,515	000000	-16,486	-15,524	-17,179	15,029	208	11
16,496	000000	-16,467	-15,505	-17,161	15,029	223	11
16,473	000000	-16,448	-15,487	-17,142	15,024	205	10
16,450	000000	-16,424	-15,462	-17,117	15,026	220	11
16,437	000000	-16,405	-15,443	-17,099	15,031	208	12
16,417	000000	-16,387	-15,425	-17,081	15,030	220	11
16,400	000000	-16,368	-15,406	-17,062	15,032	218	11
16,380	000000	-16,350	-15,387	-17,043	15,031	216	11
16,361	000000	-16,331	-15,369	-17,025	15,030	213	11
16,336	000000	-16,306	-15,344	-17,000	15,030	213	11
16,319	000000	-16,288	-15,326	-16,982	15,031	218	11
16,301	000000	-16,269	-15,307	-16,963	15,031	216	11
16,281	000000	-16,250	-15,288	-16,944	15,031	219	11
16,262	000000	-16,232	-15,269	-16,925	15,030	219	11
16,245	000000	-16,213	-15,250	-16,907	15,032	217	11
16,222	000000	-16,194	-15,232	-16,888	15,028	207	10
16,198	000000	-16,170	-15,207	-16,863	15,029	224	11
16,185	000000	-16,151	-15,188	-16,844	15,034	205	10
16,163	000000	-16,132	-15,169	-16,825	15,031	205	10
16,146	000000	-16,114	-15,151	-16,807	15,032	224	11
16,127	000000	-16,095	-15,132	-16,788	15,032	223	11
16,114	000000	-16,076	-15,113	-16,770	15,037	223	11
16,090	000000	-16,052	-15,088	-16,745	15,038	223	11
16,068	000000	-16,033	-15,070	-16,727	15,035	222	11
16,049	000000	-16,015	-15,052	-16,708	15,034	218	11
16,029	000000	-15,997	-15,034	-16,690	15,032	223	11
16,010	000000	-15,978	-15,015	-16,671	15,032	220	11
15,993	000000	-15,959	-14,996	-16,652	15,033	209	11
15,971	000000	-15,935	-14,971	-16,628	15,036	211	11
15,948	000000	-15,916	-14,953	-16,609	15,032	222	11
15,934	000000	-15,898	-14,935	-16,591	15,036	224	11
15,915	000000	-15,879	-14,916	-16,572	15,037	212	11
15,897	000000	-15,861	-14,897	-16,553	15,037	205	10
15,879	000000	-15,842	-14,878	-16,535	15,037	218	11
15,854	000000	-15,817	-14,853	-16,510	15,037	205	10
15,837	000000	-15,799	-14,835	-16,491	15,038	213	12
15,818	000000	-15,780	-14,816	-16,473	15,038	213	12
15,800	000000	-15,761	-14,797	-16,454	15,039	204	10
15,780	000000	-15,742	-14,778	-16,435	15,038	204	11
15,761	000000	-15,724	-14,760	-16,416	15,037	222	11
15,734	000000	-15,699	-14,735	-16,392	15,035	217	11
15,719	000000	-15,681	-14,717	-16,373	15,038	205	10
15,698	000000	-15,662	-14,698	-16,355	15,036	217	11
15,682	000000	-15,644	-14,679	-16,336	15,038	216	11
15,663	000000	-15,625	-14,661	-16,318	15,038	210	11
15,647	000000	-15,607	-14,642	-16,299	15,040	217	11
15,623	000000	-15,582	-14,618	-16,275	15,041	213	11
15,603	000000	-15,564	-14,599	-16,256	15,040	205	10
15,584	000000	-15,545	-14,581	-16,238	15,039	218	11
15,568	000000	-15,527	-14,562	-16,219	15,041	217	11
15,546	000000	-15,508	-14,544	-16,201	15,038	213	11
15,531	000000	-15,489	-14,525	-16,182	15,042	212	11
15,509	000000	-15,471	-14,506	-16,163	15,038	223	12
15,483	000000	-15,446	-14,482	-16,138	15,037	220	11
15,469	000000	-15,428	-14,463	-16,120	15,042	223	14
15,447	000000	-15,408	-14,444	-16,101	15,039	206	11
15,432	000000	-15,390	-14,425	-16,083	15,042	206	10
15,411	000000	-15,371	-14,407	-16,064	15,040	219	11
15,396	000000	-15,353	-14,388	-16,045	15,043	219	11
15,372	000000	-15,328	-14,363	-16,020	15,044	217	11
15,351	000000	-15,309	-14,344	-16,001	15,043	218	12
15,335	000000	-15,291	-14,325	-15,983	15,044	221	11
15,318	000000	-15,272	-14,307	-15,965	15,046	205	10
15,298	000000	-15,253	-14,288	-15,946	15,045	224	11
15,281	000000	-15,235	-14,269	-15,927	15,046	208	11
15,256	000000	-15,210	-14,244	-15,902	15,046	206	13
15,235	000000	-15,191	-14,226	-15,883	15,044	206	13
15,175	000000	-15,173	-14,212	-15,865	15,002	208	12
15,158	000000	-15,154	-14,193	-15,846	15,004	214	11
15,138	000000	-15,135	-14,174	-15,827	15,003	208	11
15,121	000000	-15,117	-14,156	-15,809	15,004	205	10
15,097	000000	-15,093	-14,131	-15,785	15,005	206	10
15,083	000000	-15,074	-14,113	-15,766	15,008	213	11
15,063	000000	-15,056	-14,095	-15,748	15,007	224	11
15,043	000000	-15,037	-14,076	-15,730	15,006	206	10
15,066	000000	-15,019	-14,054	-15,711	15,046	207	10
15,050	000000	-15,001	-14,034	-15,693	15,049	219	11
15,026	000000	-14,976	-14,010	-15,668	15,050	208	10
15,010	000000	-14,958	-13,991	-15,649	15,052	220	11
14,990	000000	-14,939	-13,972	-15,631	15,051	220	11
14,974	000000	-14,920	-13,954	-15,612	15,054	206	10
14,951	000000	-14,902	-13,936	-15,594	15,049	218	11
14,934	000000	-14,884	-13,917	-15,575	15,050	223	11
14,911	000000	-14,859	-13,892	-15,551	15,052	206	10
14,894	000000	-14,840	-13,874	-15,532	15,054	221	11
14,876	000000	-14,822	-13,855	-15,514	15,054	206	10
14,857	000000	-14,803	-13,837	-15,495	15,054	207	10
14,843	000000	-14,785	-13,818	-15,477	15,058	220	11
14,822	000000	-14,766	-13,799	-15,458	15,055	219	11
14,800	000000	-14,747	-13,780	-15,439	15,052	220	11
14,777	000000	-14,723	-13,755	-15,414	15,055	213	11
14,759	000000	-14,704	-13,737	-15,396	15,055	224	11
14,742	000000	-14,686	-13,719	-15,377	15,056	206	10
14,724	000000	-14,667	-13,700	-15,359	15,057	207	11
14,704	000000	-14,649	-13,682	-15,341	15,055	206	11
14,685	000000	-14,631	-13,663	-15,322	15,054	221	11
14,665	000000	-14,606	-13,638	-15,297	15,059	220	11
14,645	000000	-14,588	-13,620	-15,279	15,058	220	11
14,626	000000	-14,569	-13,601	-15,260	15,057	220	11
14,610	000000	-14,550	-13,582	-15,242	15,060	204	11
14,589	000000	-14,532	-13,564	-15,223	15,058	218	12
14,572	000000	-14,513	-13,545	-15,204	15,059	206	10
14,550	000000	-14,488	-13,520	-15,180	15,062	206	10
