#UPS-spectrum

#Date/time: 	2018-03-26__17-17-50


#AK pressure: 	8,74E-9 	mbar
#Pass energy: 	15.0 	eV
#Volt. bias: 	-15.0 	V
#Volt. lens: 	-15.0 	V
#Step width: 	20.0 	meV
#Counttime: 	200.0 	ms
#Vor: 	16.0 	V
#Nach: 	5.0 	V
#slope: 	0.613 	V/s
#offset: 	-48.850 	V


#Slope: 	72.7 	mV/s
#Counttime: 	200.0 	ms




#E_k 	 cps 	 Ana 	 Hemi 	 Hemo 	 EP 	 Mt + 	 + meas


16,727	000000	-16,626	-15,660	-17,324	15,101	210	19
16,705	000000	-16,608	-15,642	-17,305	15,097	213	19
16,688	000000	-16,590	-15,623	-17,287	15,098	211	19
16,663	000000	-16,565	-15,598	-17,262	15,099	213	19
16,644	000000	-16,546	-15,580	-17,243	15,097	212	19
16,625	000000	-16,527	-15,561	-17,224	15,098	212	19
16,606	000000	-16,509	-15,543	-17,206	15,097	211	19
16,589	000000	-16,490	-15,524	-17,188	15,098	211	19
16,572	000000	-16,472	-15,505	-17,169	15,100	213	19
16,549	000000	-16,447	-15,481	-17,144	15,102	205	18
16,528	000000	-16,429	-15,462	-17,126	15,099	205	18
16,511	000000	-16,410	-15,443	-17,107	15,101	215	19
16,493	000000	-16,392	-15,425	-17,089	15,101	209	18
16,477	000000	-16,373	-15,406	-17,070	15,104	208	18
16,455	000000	-16,355	-15,388	-17,051	15,101	209	18
16,430	000000	-16,330	-15,363	-17,027	15,100	209	18
16,414	000000	-16,311	-15,344	-17,008	15,103	216	18
16,393	000000	-16,293	-15,326	-16,989	15,100	211	17
16,377	000000	-16,274	-15,307	-16,971	15,103	206	17
16,355	000000	-16,255	-15,288	-16,952	15,100	208	17
16,338	000000	-16,237	-15,270	-16,933	15,101	208	17
16,313	000000	-16,212	-15,245	-16,908	15,102	209	17
16,296	000000	-16,193	-15,226	-16,890	15,103	209	17
16,278	000000	-16,175	-15,207	-16,871	15,103	208	17
16,261	000000	-16,156	-15,188	-16,852	15,105	210	17
16,241	000000	-16,137	-15,170	-16,834	15,104	208	17
16,224	000000	-16,118	-15,151	-16,815	15,106	211	17
16,205	000000	-16,100	-15,133	-16,797	15,104	205	17
16,180	000000	-16,076	-15,108	-16,772	15,105	214	18
16,163	000000	-16,057	-15,089	-16,753	15,107	212	19
16,143	000000	-16,038	-15,070	-16,735	15,105	215	19
16,126	000000	-16,020	-15,052	-16,716	15,106	211	19
16,106	000000	-16,001	-15,034	-16,698	15,104	208	19
16,089	000000	-15,983	-15,015	-16,679	15,106	209	19
16,063	000000	-15,958	-14,990	-16,654	15,105	207	19
16,046	000000	-15,940	-14,971	-16,636	15,106	211	19
16,027	000000	-15,921	-14,953	-16,618	15,106	209	19
16,012	000000	-15,903	-14,934	-16,599	15,109	210	19
15,992	000000	-15,884	-14,916	-16,580	15,107	209	19
15,976	000000	-15,865	-14,897	-16,562	15,111	204	18
15,950	000000	-15,841	-14,872	-16,537	15,110	208	19
15,929	000000	-15,822	-14,854	-16,518	15,107	209	19
15,913	000000	-15,803	-14,835	-16,499	15,110	209	19
15,892	000000	-15,785	-14,816	-16,480	15,108	210	19
15,877	000000	-15,766	-14,797	-16,462	15,111	208	19
15,855	000000	-15,747	-14,779	-16,443	15,108	209	19
15,832	000000	-15,723	-14,754	-16,418	15,110	207	19
15,813	000000	-15,704	-14,735	-16,400	15,109	209	19
15,796	000000	-15,685	-14,716	-16,381	15,111	214	19
15,776	000000	-15,667	-14,698	-16,363	15,109	209	19
15,761	000000	-15,649	-14,679	-16,345	15,113	209	19
15,740	000000	-15,631	-14,661	-16,326	15,110	210	19
15,717	000000	-15,606	-14,637	-16,302	15,111	212	19
15,701	000000	-15,587	-14,618	-16,283	15,114	209	19
15,681	000000	-15,568	-14,599	-16,264	15,112	210	19
15,664	000000	-15,550	-14,581	-16,246	15,114	209	19
15,642	000000	-15,532	-14,562	-16,227	15,111	210	19
15,628	000000	-15,513	-14,544	-16,209	15,115	212	19
15,602	000000	-15,488	-14,519	-16,184	15,114	209	19
15,584	000000	-15,469	-14,500	-16,165	15,114	210	19
15,565	000000	-15,451	-14,482	-16,147	15,113	209	19
15,546	000000	-15,432	-14,463	-16,128	15,114	212	19
15,526	000000	-15,414	-14,444	-16,109	15,112	208	19
15,511	000000	-15,395	-14,425	-16,090	15,116	209	19
15,490	000000	-15,377	-14,407	-16,072	15,114	210	19
15,465	000000	-15,351	-14,382	-16,047	15,113	209	19
15,449	000000	-15,332	-14,362	-16,028	15,117	212	19
15,428	000000	-15,314	-14,344	-16,009	15,114	211	19
15,413	000000	-15,295	-14,325	-15,991	15,118	210	19
15,390	000000	-15,277	-14,307	-15,972	15,113	209	19
15,377	000000	-15,258	-14,288	-15,954	15,119	214	19
15,353	000000	-15,233	-14,263	-15,929	15,119	215	19
15,330	000000	-15,215	-14,245	-15,910	15,115	206	18
15,313	000000	-15,196	-14,226	-15,891	15,117	205	18
15,296	000000	-15,178	-14,207	-15,873	15,118	206	18
15,278	000000	-15,159	-14,188	-15,854	15,119	214	18
15,260	000000	-15,140	-14,170	-15,836	15,120	212	18
15,240	000000	-15,116	-14,145	-15,811	15,124	212	18
15,217	000000	-15,097	-14,127	-15,792	15,119	214	18
15,202	000000	-15,079	-14,108	-15,774	15,123	208	17
15,181	000000	-15,061	-14,090	-15,756	15,120	206	17
15,165	000000	-15,042	-14,071	-15,737	15,124	208	17
15,144	000000	-15,023	-14,052	-15,718	15,120	207	17
15,119	000000	-14,999	-14,028	-15,694	15,121	210	17
15,103	000000	-14,981	-14,009	-15,675	15,122	215	17
15,085	000000	-14,962	-13,991	-15,657	15,122	210	17
15,065	000000	-14,944	-13,973	-15,639	15,121	208	17
15,049	000000	-14,925	-13,954	-15,620	15,124	208	17
15,030	000000	-14,907	-13,935	-15,602	15,123	210	17
15,002	000000	-14,882	-13,911	-15,577	15,120	210	17
14,988	000000	-14,864	-13,892	-15,559	15,125	205	17
14,968	000000	-14,845	-13,874	-15,540	15,123	205	18
14,952	000000	-14,826	-13,855	-15,521	15,126	212	19
14,932	000000	-14,808	-13,837	-15,503	15,124	210	18
14,916	000000	-14,790	-13,818	-15,484	15,127	212	19
14,891	000000	-14,765	-13,793	-15,459	15,126	208	19
14,870	000000	-14,746	-13,774	-15,440	15,124	211	19
14,856	000000	-14,727	-13,756	-15,422	15,128	209	19
14,835	000000	-14,709	-13,737	-15,404	15,126	209	19
14,817	000000	-14,691	-13,719	-15,385	15,126	209	19
14,800	000000	-14,672	-13,700	-15,367	15,128	210	19
14,779	000000	-14,654	-13,682	-15,348	15,126	210	19
14,753	000000	-14,629	-13,657	-15,323	15,124	205	18
14,739	000000	-14,611	-13,638	-15,305	15,128	209	19
14,717	000000	-14,592	-13,620	-15,286	15,125	209	19
14,704	000000	-14,573	-13,601	-15,268	15,131	211	19
14,683	000000	-14,555	-13,582	-15,249	15,129	209	19
14,667	000000	-14,536	-13,564	-15,231	15,130	210	19
14,642	000000	-14,512	-13,539	-15,206	15,130	209	19
14,622	000000	-14,493	-13,521	-15,188	15,129	209	19
14,607	000000	-14,474	-13,502	-15,169	15,132	209	19
14,587	000000	-14,456	-13,483	-15,150	15,131	212	19
14,567	000000	-14,437	-13,464	-15,131	15,130	209	19
14,550	000000	-14,418	-13,446	-15,113	15,132	208	19
14,526	000000	-14,393	-13,421	-15,088	15,132	211	19
14,504	000000	-14,375	-13,402	-15,069	15,129	210	19
14,487	000000	-14,356	-13,383	-15,050	15,131	209	19
14,466	000000	-14,337	-13,364	-15,031	15,129	209	19
14,451	000000	-14,319	-13,346	-15,013	15,132	209	19
14,431	000000	-14,300	-13,327	-14,994	15,130	209	19
14,405	000000	-14,275	-13,302	-14,969	15,130	210	19
14,391	000000	-14,257	-13,284	-14,951	15,134	209	19
14,371	000000	-14,239	-13,265	-14,932	15,132	208	19
14,354	000000	-14,220	-13,247	-14,914	15,134	213	19
14,336	000000	-14,201	-13,228	-14,895	15,135	209	19
14,316	000000	-14,182	-13,209	-14,876	15,133	211	19
14,291	000000	-14,157	-13,184	-14,851	15,133	210	19
14,275	000000	-14,139	-13,165	-14,833	15,136	211	19
14,254	000000	-14,120	-13,147	-14,814	15,134	213	19
14,237	000000	-14,102	-13,128	-14,796	15,136	214	19
14,216	000000	-14,083	-13,110	-14,777	15,132	210	19
14,201	000000	-14,065	-13,091	-14,759	15,136	214	19
14,179	000000	-14,046	-13,073	-14,740	15,133	213	19
14,155	000000	-14,021	-13,048	-14,715	15,133	213	19
14,140	000000	-14,003	-13,029	-14,696	15,138	211	18
14,119	000000	-13,984	-13,010	-14,678	15,135	205	18
14,102	000000	-13,965	-12,991	-14,659	15,137	206	18
14,084	000000	-13,947	-12,973	-14,640	15,137	206	18
14,066	000000	-13,928	-12,954	-14,622	15,138	214	18
14,043	000000	-13,903	-12,929	-14,597	15,140	210	18
14,022	000000	-13,885	-12,911	-14,579	15,138	208	17
14,005	000000	-13,867	-12,893	-14,560	15,138	207	17
13,986	000000	-13,848	-12,874	-14,542	15,138	207	17
13,964	000000	-13,830	-12,856	-14,523	15,134	205	17
13,951	000000	-13,811	-12,837	-14,505	15,140	207	17
13,925	000000	-13,787	-12,812	-14,480	15,139	208	17
13,907	000000	-13,768	-12,794	-14,462	15,139	210	17
13,890	000000	-13,750	-12,775	-14,443	15,140	216	17
13,870	000000	-13,731	-12,757	-14,425	15,139	210	17
13,853	000000	-13,713	-12,738	-14,406	15,140	211	17
13,835	000000	-13,694	-12,720	-14,388	15,140	210	17
13,810	000000	-13,670	-12,695	-14,363	15,141	208	17
13,794	000000	-13,651	-12,676	-14,345	15,142	208	17
13,774	000000	-13,633	-12,658	-14,326	15,141	214	18
13,753	000000	-13,614	-12,639	-14,307	15,138	208	18
13,738	000000	-13,596	-12,621	-14,289	15,142	211	19
13,717	000000	-13,577	-12,602	-14,270	15,140	210	19
13,690	000000	-13,552	-12,577	-14,245	15,139	210	19
13,678	000000	-13,534	-12,558	-14,227	15,144	210	19
13,656	000000	-13,515	-12,540	-14,208	15,141	210	19
13,638	000000	-13,497	-12,521	-14,190	15,142	209	19
13,620	000000	-13,478	-12,503	-14,171	15,142	208	19
13,602	000000	-13,459	-12,484	-14,152	15,143	209	19
13,577	000000	-13,435	-12,460	-14,128	15,142	210	19
13,558	000000	-13,416	-12,441	-14,109	15,142	209	19
13,540	000000	-13,398	-12,423	-14,091	15,142	213	19
13,524	000000	-13,380	-12,404	-14,073	15,144	209	19
13,501	000000	-13,361	-12,385	-14,053	15,141	212	19
13,486	000000	-13,343	-12,367	-14,035	15,143	208	19
13,464	000000	-13,324	-12,349	-14,017	15,140	210	19
13,444	000000	-13,299	-12,324	-13,992	15,144	210	19
13,426	000000	-13,281	-12,305	-13,974	15,145	209	19
13,407	000000	-13,262	-12,287	-13,955	15,145	208	19
13,389	000000	-13,244	-12,268	-13,937	15,146	209	19
13,371	000000	-13,225	-12,250	-13,918	15,146	206	18
13,351	000000	-13,207	-12,231	-13,900	15,143	211	19
13,326	000000	-13,182	-12,206	-13,875	15,144	209	19
13,310	000000	-13,164	-12,187	-13,856	15,146	208	19
13,290	000000	-13,145	-12,169	-13,838	15,144	209	19
13,273	000000	-13,127	-12,151	-13,819	15,146	209	19
13,255	000000	-13,108	-12,132	-13,801	15,146	209	19
13,238	000000	-13,090	-12,113	-13,782	15,148	209	19
13,214	000000	-13,065	-12,088	-13,757	15,149	209	19
13,195	000000	-13,046	-12,070	-13,739	15,149	212	19
13,177	000000	-13,028	-12,051	-13,720	15,149	211	19
13,158	000000	-13,009	-12,033	-13,702	15,149	209	19
13,139	000000	-12,991	-12,014	-13,683	15,149	211	19
13,120	000000	-12,972	-11,996	-13,665	15,147	210	19
13,097	000000	-12,948	-11,971	-13,640	15,149	210	19
